recession_id,start_date,end_date,duration_months,name,primary_causes,gdp_decline_percent,peak_unemployment_rate,notable_policy_responses
1,1929-08-01,1933-03-01,43,Great Depression,Stock market crash of 1929; Banking panics; Monetary contraction,26.7,24.9,New Deal programs; Banking Act of 1933 (Glass-Steagall); Social Security Act
2,1937-05-01,1938-06-01,13,Recession of 1937-1938,Fiscal and monetary policy tightening; Reduction in government spending,18.2,20.0,Increased government spending; Abandonment of balanced budget policy
3,1945-02-01,1945-10-01,8,Recession of 1945,Post-WWII demobilization and transition to peacetime economy,12.7,5.2,GI Bill; Conversion of war industries to consumer goods production
4,1948-11-01,1949-10-01,11,Recession of 1949,Post-war economic readjustment; Monetary tightening,1.7,7.9,Tax cuts; Increased defense spending due to Korean War
5,1953-07-01,1954-05-01,10,Recession of 1953,End of Korean War; Monetary tightening by Federal Reserve,2.6,6.1,Monetary easing; Acceleration of federal highway spending
6,1957-08-01,1958-04-01,8,Recession of 1958,Monetary tightening; Decline in housing construction,3.7,7.5,Tax Rate Extension Act; Monetary easing; Increased government spending
7,1960-04-01,1961-02-01,10,Recession of 1960-1961,Monetary tightening to address inflation,1.6,7.1,Kennedy tax cuts; Increased government spending
8,1969-12-01,1970-11-01,11,Recession of 1969-1970,Monetary tightening to combat inflation; Fiscal tightening,0.6,6.1,Monetary easing; Nixon's New Economic Policy
9,1973-11-01,1975-03-01,16,1973-1975 Recession,OPEC oil embargo; Wage and price controls; Monetary policy,3.2,9.0,Tax reduction; Increased unemployment benefits; Monetary easing
10,1980-01-01,1980-07-01,6,Recession of 1980,Monetary tightening to combat inflation; Energy crisis,2.2,7.8,Monetary easing; Tax cuts
11,1981-07-01,1982-11-01,16,Early 1980s recession,Monetary tightening to combat inflation,2.7,10.8,Reagan tax cuts; Increased defense spending; Monetary easing
12,1990-07-01,1991-03-01,8,Early 1990s recession,Oil price shock; Savings and loan crisis; Debt accumulation,1.4,7.8,Monetary easing; Financial sector reforms; Fiscal stimulus
13,2001-03-01,2001-11-01,8,Early 2000s recession,Dot-com bubble burst; September 11 attacks,0.3,6.3,Bush tax cuts; Increased defense and security spending; Monetary easing
